"r_w [mm]","Freq [GHz]","dB(S(Port1,Port1)) []"
1.077,2.71,-27.4183661274225
1.077,2.715,-27.4171244315363
1.077,2.72,-27.4159984393006
1.077,2.725,-27.4149884524781
1.077,2.73,-27.4140947732852
1.077,2.735,-27.4133177043505
1.077,2.74,-27.4126575486728
1.077,2.745,-27.4121146095787
1.077,2.75,-27.4116891906802
1.077,2.755,-27.4113815958309
1.077,2.76,-27.4111921290828
1.077,2.765,-27.4111210946418
1.077,2.77,-27.4111687968236
1.077,2.775,-27.4113355400082
1.077,2.78,-27.4116216285948
1.077,2.785,-27.412027366956
1.077,2.79,-27.4125530593909
1.077,2.795,-27.4131990100788
1.077,2.8,-27.4139655230318
1.077,2.805,-27.414852902047
1.077,2.81,-27.4158614506585
1.077,2.815,-27.4169914720886
1.077,2.82,-27.4182432691986
1.077,2.825,-27.4196171444396
1.077,2.83,-27.4211133998023
1.077,2.835,-27.4227323367664
1.077,2.84,-27.4244742562497
1.077,2.845,-27.4263394585567
1.077,2.85,-27.4283282433269
1.077,2.855,-27.430440909482
1.077,2.86,-27.4326777551736
1.077,2.865,-27.4350390777293
1.077,2.87,-27.4375251735993
1.077,2.875,-27.4401363383022
1.077,2.88,-27.4428728663698
1.077,2.885,-27.4457350512925
1.077,2.89,-27.4487231854629
1.077,2.895,-27.4518375601201
1.077,2.9,-27.455078465293
1.077,2.905,-27.4584461897428
1.077,2.91,-27.4619410209055
1.077,2.915,-27.4655632448341
1.077,2.92,-27.4693131461392
1.077,2.925,-27.4731910079307
1.077,2.93,-27.4771971117576
1.077,2.935,-27.481331737548
1.077,2.94,-27.4855951635486
1.077,2.945,-27.4899876662634
1.077,2.95,-27.4945095203923
1.077,2.955,-27.4991609987686
1.077,2.96,-27.5039423722966
1.077,2.965,-27.5088539098885
1.077,2.97,-27.5138958784005
1.077,2.975,-27.5190685425686
1.077,2.98,-27.5243721649442
1.077,2.985,-27.5298070058286
1.077,2.99,-27.5353733232072
1.077,2.995,-27.5410713726834
1.077,3,-27.5469014074119
1.077,3.005,-27.5528636780308
1.077,3.01,-27.5589584325945
1.077,3.015,-27.5651859165045
1.077,3.02,-27.5715463724411
1.077,3.025,-27.5780400402935
1.077,3.03,-27.5846671570899
1.077,3.035,-27.5914279569267
1.077,3.04,-27.5983226708978
1.077,3.045,-27.6053515270222
1.077,3.05,-27.6125147501724
1.077,3.055,-27.6198125620009
1.077,3.06,-27.6272451808672
1.077,3.065,-27.6348128217639
1.077,3.07,-27.6425156962415
1.077,3.075,-27.6503540123338
1.077,3.08,-27.6583279744817
1.077,3.085,-27.6664377834572
1.077,3.09,-27.6746836362863
1.077,3.095,-27.6830657261711
1.077,3.1,-27.6915842424119
1.077,3.105,-27.7002393703284
1.077,3.11,-27.7090312911799
1.077,3.115,-27.7179601820857
1.077,3.12,-27.7270262159437
1.077,3.125,-27.7362295613498
1.077,3.13,-27.745570382515
1.077,3.135,-27.7550488391834
1.077,3.14,-27.7646650865483
1.077,3.145,-27.7744192751684
1.077,3.15,-27.7843115508829
1.077,3.155,-27.7943420547263
1.077,3.16,-27.8045109228418
1.077,3.165,-27.8148182863946
1.077,3.17,-27.8252642714845
1.077,3.175,-27.8358489990574
1.077,3.18,-27.8465725848159
1.077,3.185,-27.85743513913
1.077,3.19,-27.8684367669462
1.077,3.195,-27.8795775676961
1.077,3.2,-27.8908576352041
1.077,3.205,-27.9022770575949
1.077,3.21,-27.9138359171991
1.077,3.215,-27.9255342904591
1.077,3.22,-27.9373722478334
1.077,3.225,-27.9493498537004
1.077,3.23,-27.961467166261
1.077,3.235,-27.9737242374412
1.077,3.24,-27.9861211127925
1.077,3.245,-27.9986578313926
