"r_w [mm]","Freq [GHz]","dB(S(Port1,Port1)) []"
1.11446425684244,4.505,-19.5507227049088
1.11446425684244,4.51,-19.5311564564101
1.11446425684244,4.515,-19.5117261795394
1.11446425684244,4.52,-19.4924314067452
1.11446425684244,4.525,-19.4732716708177
1.11446425684244,4.53,-19.4542465048815
1.11446425684244,4.535,-19.435355442388
1.11446425684244,4.54,-19.4165980171094
1.11446425684244,4.545,-19.3979737631317
1.11446425684244,4.55,-19.3794822148494
1.11446425684244,4.555,-19.3611229069596
1.11446425684244,4.56,-19.3428953744572
1.11446425684244,4.565,-19.3247991526299
1.11446425684244,4.57,-19.3068337770543
1.11446425684244,4.575,-19.2889987835915
1.11446425684244,4.58,-19.2712937083835
1.11446425684244,4.585,-19.2537180878503
1.11446425684244,4.59,-19.2362714586866
1.11446425684244,4.595,-19.2189533578596
1.11446425684244,4.6,-19.2017633226063
1.11446425684244,4.605,-19.1847008904321
1.11446425684244,4.61,-19.167765599109
1.11446425684244,4.615,-19.1509569866743
1.11446425684244,4.62,-19.1342745914296
1.11446425684244,4.625,-19.1177179519403
1.11446425684244,4.63,-19.1012866070355
1.11446425684244,4.635,-19.0849800958075
1.11446425684244,4.64,-19.0687979576121
1.11446425684244,4.645,-19.0527397320696
1.11446425684244,4.65,-19.036804959065
1.11446425684244,4.655,-19.0209931787497
1.11446425684244,4.66,-19.0053039315422
1.11446425684244,4.665,-18.9897367581303
1.11446425684244,4.67,-18.9742911994726
1.11446425684244,4.675,-18.9589667968005
1.11446425684244,4.68,-18.9437630916212
1.11446425684244,4.685,-18.9286796257196
1.11446425684244,4.69,-18.9137159411613
1.11446425684244,4.695,-18.898871580296
1.11446425684244,4.7,-18.8841460857604
1.11446425684244,4.705,-18.8695390004818
1.11446425684244,4.71,-18.8550498676818
1.11446425684244,4.715,-18.8406782308803
1.11446425684244,4.72,-18.8264236338996
1.11446425684244,4.725,-18.8122856208684
1.11446425684244,4.73,-18.7982637362269
1.11446425684244,4.735,-18.7843575247308
1.11446425684244,4.74,-18.7705665314567
1.11446425684244,4.745,-18.7568903018068
1.11446425684244,4.75,-18.7433283815144
1.11446425684244,4.755,-18.7298803166488
1.11446425684244,4.76,-18.7165456536215
1.11446425684244,4.765,-18.7033239391912
1.11446425684244,4.77,-18.6902147204703
1.11446425684244,4.775,-18.6772175449302
1.11446425684244,4.78,-18.6643319604079
1.11446425684244,4.785,-18.6515575151123
1.11446425684244,4.79,-18.6388937576302
1.11446425684244,4.795,-18.6263402369332
1.11446425684244,4.8,-18.6138965023841
1.11446425684244,4.805,-18.6015621037437
1.11446425684244,4.81,-18.5893365911778
1.11446425684244,4.815,-18.5772195152642
1.11446425684244,4.82,-18.5652104269995
1.11446425684244,4.825,-18.5533088778067
1.11446425684244,4.83,-18.5415144195421
1.11446425684244,4.835,-18.529826604503
1.11446425684244,4.84,-18.5182449854348
1.11446425684244,4.845,-18.5067691155391
1.11446425684244,4.85,-18.4953985484807
1.11446425684244,4.855,-18.4841328383958
1.11446425684244,4.86,-18.4729715398995
1.11446425684244,4.865,-18.4619142080937
1.11446425684244,4.87,-18.4509603985752
1.11446425684244,4.875,-18.4401096674433
1.11446425684244,4.88,-18.4293615713082
1.11446425684244,4.885,-18.418715667299
1.11446425684244,4.89,-18.4081715130714
1.11446425684244,4.895,-18.3977286668166
1.11446425684244,4.9,-18.387386687269
1.11446425684244,4.905,-18.3771451337146
1.11446425684244,4.91,-18.3670035659993
1.11446425684244,4.915,-18.3569615445372
1.11446425684244,4.92,-18.347018630319
1.11446425684244,4.925,-18.3371743849203
1.11446425684244,4.93,-18.32742837051
1.11446425684244,4.935,-18.3177801498589
1.11446425684244,4.94,-18.3082292863478
1.11446425684244,4.945,-18.2987753439763
1.11446425684244,4.95,-18.2894178873709
1.11446425684244,4.955,-18.2801564817939
1.11446425684244,4.96,-18.2709906931513
1.11446425684244,4.965,-18.2619200880017
1.11446425684244,4.97,-18.2529442335647
1.11446425684244,4.975,-18.2440626977291
1.11446425684244,4.98,-18.2352750490618
1.11446425684244,4.985,-18.2265808568156
1.11446425684244,4.99,-18.2179796909383
1.11446425684244,4.995,-18.2094711220805
1.11446425684244,5,-18.2010547216046
1.11446425684244,5.005,-18.1927300615925
1.11446425684244,5.01,-18.1844967148546
1.11446425684244,5.015,-18.1763542549376
1.11446425684244,5.02,-18.168302256133
1.11446425684244,5.025,-18.1603402934854
1.11446425684244,5.03,-18.1524679428007
1.11446425684244,5.035,-18.1446847806542
1.11446425684244,5.04,-18.1369903843989
1.11446425684244,5.045,-18.1293843321733
1.11446425684244,5.05,-18.12186620291
1.11446425684244,5.055,-18.1144355763433
1.11446425684244,5.06,-18.1070920330173
1.11446425684244,5.065,-18.0998351542937
1.11446425684244,5.07,-18.0926645223602
1.11446425684244,5.075,-18.0855797202377
1.11446425684244,5.08,-18.0785803317884
1.11446425684244,5.085,-18.0716659417235
1.11446425684244,5.09,-18.0648361356108
1.11446425684244,5.095,-18.0580904998825
1.11446425684244,5.1,-18.0514286218424
1.11446425684244,5.105,-18.044850089674
1.11446425684244,5.11,-18.0383544924471
1.11446425684244,5.115,-18.031941420126
1.11446425684244,5.12,-18.0256104635761
1.11446425684244,5.125,-18.0193612145716
1.11446425684244,5.13,-18.0131932658026
1.11446425684244,5.135,-18.007106210882
1.11446425684244,5.14,-18.0010996443527
1.11446425684244,5.145,-17.9951731616945
1.11446425684244,5.15,-17.9893263593309
1.11446425684244,5.155,-17.9835588346362
1.11446425684244,5.16,-17.9778701859417
1.11446425684244,5.165,-17.9722600125429
1.11446425684244,5.17,-17.9667279147059
1.11446425684244,5.175,-17.9612734936738
1.11446425684244,5.18,-17.955896351673
1.11446425684244,5.185,-17.95059609192
1.11446425684244,5.19,-17.9453723186273
1.11446425684244,5.195,-17.9402246370096
1.11446425684244,5.2,-17.9351526532899
1.11446425684244,5.205,-17.9301559747057
1.11446425684244,5.21,-17.9252342095148
1.11446425684244,5.215,-17.920386967001
1.11446425684244,5.22,-17.9156138574803
1.11446425684244,5.225,-17.9109144923058
1.11446425684244,5.23,-17.9062884838742
1.11446425684244,5.235,-17.9017354456307
1.11446425684244,5.24,-17.8972549920745
1.11446425684244,5.245,-17.8928467387643
1.11446425684244,5.25,-17.8885103023233
1.11446425684244,5.255,-17.8842453004447
1.11446425684244,5.26,-17.8800513518964
1.11446425684244,5.265,-17.8759280765259
1.11446425684244,5.27,-17.8718750952658
1.11446425684244,5.275,-17.8678920301379
1.11446425684244,5.28,-17.8639785042581
1.11446425684244,5.285,-17.8601341418412
1.11446425684244,5.29,-17.8563585682053
1.11446425684244,5.295,-17.8526514097762
1.11446425684244,5.3,-17.8490122940917
1.11446425684244,5.305,-17.8454408498058
1.11446425684244,5.31,-17.8419367066931
1.11446425684244,5.315,-17.8384994956525
1.11446425684244,5.32,-17.8351288487117
1.11446425684244,5.325,-17.8318243990303
1.11446425684244,5.33,-17.8285857809043
1.11446425684244,5.335,-17.8254126297695
1.11446425684244,5.34,-17.8223045822049
1.11446425684244,5.345,-17.8192612759368
1.11446425684244,5.35,-17.8162823498414
1.11446425684244,5.355,-17.813367443949
1.11446425684244,5.36,-17.8105161994464
1.11446425684244,5.365,-17.8077282586808
1.11446425684244,5.37,-17.8050032651623
1.11446425684244,5.375,-17.8023408635671
1.11446425684244,5.38,-17.7997406997405
1.11446425684244,5.385,-17.7972024206993
1.11446425684244,5.39,-17.794725674635
1.11446425684244,5.395,-17.7923101109159
1.11446425684244,5.4,-17.7899553800898
1.11446425684244,5.405,-17.7876611338869
1.11446425684244,5.41,-17.7854270252212
1.11446425684244,5.415,-17.7832527081936
1.11446425684244,5.42,-17.7811378380937
1.11446425684244,5.425,-17.7790820714018
1.11446425684244,5.43,-17.7770850657911
1.11446425684244,5.435,-17.7751464801293
1.11446425684244,5.44,-17.7732659744811
1.11446425684244,5.445,-17.7714432101089
1.11446425684244,5.45,-17.7696778494753
1.11446425684244,5.455,-17.7679695562444
1.11446425684244,5.46,-17.7663179952831
1.11446425684244,5.465,-17.7647228326626
1.11446425684244,5.47,-17.76318373566
1.11446425684244,5.475,-17.7617003727591
1.11446425684244,5.48,-17.7602724136516
1.11446425684244,5.485,-17.7588995292385
1.11446425684244,5.49,-17.7575813916308
1.11446425684244,5.495,-17.7563176741505
1.11446425684244,5.5,-17.7551080513313
1.11446425684244,5.505,-17.7539521989196
1.11446425684244,5.51,-17.7528497938748
1.11446425684244,5.515,-17.7518005143702
1.11446425684244,5.52,-17.7508040397936
1.11446425684244,5.525,-17.7498600507471
1.11446425684244,5.53,-17.7489682290484
1.11446425684244,5.535,-17.7481282577301
1.11446425684244,5.54,-17.7473398210408
1.11446425684244,5.545,-17.7466026044445
1.11446425684244,5.55,-17.7459162946212
1.11446425684244,5.555,-17.7452805794664
1.11446425684244,5.56,-17.7446951480916
1.11446425684244,5.565,-17.7441596908236
1.11446425684244,5.57,-17.7436738992045
1.11446425684244,5.575,-17.7432374659915
1.11446425684244,5.58,-17.7428500851563
1.11446425684244,5.585,-17.7425114518848
1.11446425684244,5.59,-17.7422212625766
1.11446425684244,5.595,-17.7419792148445
1.11446425684244,5.6,-17.7417850075136
1.11446425684244,5.605,-17.7416383406209
1.11446425684244,5.61,-17.7415389154142
1.11446425684244,5.615,-17.7414864343516
1.11446425684244,5.62,-17.7414806011005
1.11446425684244,5.625,-17.7415211205365
1.11446425684244,5.63,-17.7416076987423
1.11446425684244,5.635,-17.7417400430072
1.11446425684244,5.64,-17.741917861825
1.11446425684244,5.645,-17.7421408648938
1.11446425684244,5.65,-17.742408763114
1.11446425684244,5.655,-17.7427212685872
1.11446425684244,5.66,-17.743078094615
1.11446425684244,5.665,-17.7434789556973
1.11446425684244,5.67,-17.7439235675309
1.11446425684244,5.675,-17.744411647008
1.11446425684244,5.68,-17.7449429122145
1.11446425684244,5.685,-17.7455170824283
1.11446425684244,5.69,-17.7461338781179
1.11446425684244,5.695,-17.7467930209402
1.11446425684244,5.7,-17.7474942337388
1.11446425684244,5.705,-17.7482372405424
1.11446425684244,5.71,-17.7490217665625
1.11446425684244,5.715,-17.7498475381916
1.11446425684244,5.72,-17.7507142830014
1.11446425684244,5.725,-17.7516217297403
1.11446425684244,5.73,-17.7525696083314
1.11446425684244,5.735,-17.7535576498706
1.11446425684244,5.74,-17.7545855866241
1.11446425684244,5.745,-17.7556531520263
1.11446425684244,5.75,-17.7567600806773
1.11446425684244,5.755,-17.757906108341
1.11446425684244,5.76,-17.759090971942
1.11446425684244,5.765,-17.7603144095638
1.11446425684244,5.77,-17.7615761604461
1.11446425684244,5.775,-17.7628759649821
1.11446425684244,5.78,-17.7642135647164
1.11446425684244,5.785,-17.7655887023418
1.11446425684244,5.79,-17.7670011216971
1.11446425684244,5.795,-17.7684505677644
1.11446425684244,5.8,-17.7699367866662
1.11446425684244,5.805,-17.7714595256627
1.11446425684244,5.81,-17.7730185331491
1.11446425684244,5.815,-17.7746135586527
1.11446425684244,5.82,-17.77624435283
1.11446425684244,5.825,-17.7779106674641
1.11446425684244,5.83,-17.7796122554613
1.11446425684244,5.835,-17.7813488708484
1.11446425684244,5.84,-17.78312026877
1.11446425684244,5.845,-17.7849262054847
1.11446425684244,5.85,-17.7867664383628
1.11446425684244,5.855,-17.788640725883
1.11446425684244,5.86,-17.790548827629
1.11446425684244,5.865,-17.7924905042866
1.11446425684244,5.87,-17.7944655176406
1.11446425684244,5.875,-17.7964736305713
1.11446425684244,5.88,-17.7985146070518
1.11446425684244,5.885,-17.800588212144
1.11446425684244,5.89,-17.802694211996
1.11446425684244,5.895,-17.8048323738384
1.11446425684244,5.9,-17.807002465981
1.11446425684244,5.905,-17.8092042578097
1.11446425684244,5.91,-17.8114375197828
1.11446425684244,5.915,-17.8137020234278
1.11446425684244,5.92,-17.8159975413378
1.11446425684244,5.925,-17.8183238471684
1.11446425684244,5.93,-17.8206807156336
1.11446425684244,5.935,-17.8230679225031
1.11446425684244,5.94,-17.8254852445982
1.11446425684244,5.945,-17.8279324597883
1.11446425684244,5.95,-17.8304093469878
1.11446425684244,5.955,-17.832915686152
1.11446425684244,5.96,-17.8354512582738
1.11446425684244,5.965,-17.8380158453801
1.11446425684244,5.97,-17.840609230528
1.11446425684244,5.975,-17.8432311978015
1.11446425684244,5.98,-17.8458815323073
1.11446425684244,5.985,-17.8485600201718
1.11446425684244,5.99,-17.8512664485367
1.11446425684244,5.995,-17.8540006055558
1.11446425684244,6,-17.8567622803914
1.11502886981512,0.5,-41.7357086165789
1.11502886981512,0.505,-41.650488629631
1.11502886981512,0.51,-41.5661321013988
1.11502886981512,0.515,-41.482622430974
1.11502886981512,0.52,-41.399943498796
1.11502886981512,0.525,-41.318079648238
1.11502886981512,0.53,-41.237015668066
1.11502886981512,0.535,-41.1567367757208
1.11502886981512,0.54,-41.0772286013777
1.11502886981512,0.545,-40.9984771727398
1.11502886981512,0.55,-40.9204689005262
1.11502886981512,0.555,-40.8431905646165
1.11502886981512,0.56,-40.7666293008164
1.11502886981512,0.565,-40.6907725882111
1.11502886981512,0.57,-40.6156082370762
1.11502886981512,0.575,-40.5411243773159
1.11502886981512,0.58,-40.4673094474019
1.11502886981512,0.585,-40.3941521837871
1.11502886981512,0.59,-40.3216416107691
1.11502886981512,0.595,-40.2497670307818
1.11502886981512,0.6,-40.1785180150933
1.11502886981512,0.605,-40.1078843948891
1.11502886981512,0.61,-40.0378562527227
1.11502886981512,0.615,-39.968423914315
1.11502886981512,0.62,-39.8995779406857
1.11502886981512,0.625,-39.8313091206007
1.11502886981512,0.63,-39.7636084633199
1.11502886981512,0.635,-39.6964671916326
1.11502886981512,0.64,-39.6298767351652
1.11502886981512,0.645,-39.5638287239494
1.11502886981512,0.65,-39.4983149822393
1.11502886981512,0.655,-39.4333275225645
1.11502886981512,0.66,-39.3688585400101
1.11502886981512,0.665,-39.3049004067125
1.11502886981512,0.67,-39.2414456665603
1.11502886981512,0.675,-39.1784870300942
1.11502886981512,0.68,-39.1160173695928
1.11502886981512,0.685,-39.0540297143405
1.11502886981512,0.69,-38.9925172460659
1.11502886981512,0.695,-38.9314732945462
1.11502886981512,0.7,-38.870891333368
1.11502886981512,0.705,-38.8107649758401
1.11502886981512,0.71,-38.7510879710497
1.11502886981512,0.715,-38.6918542000578
1.11502886981512,0.72,-38.6330576722272
1.11502886981512,0.725,-38.5746925216766
1.11502886981512,0.73,-38.5167530038582
1.11502886981512,0.735,-38.4592334922506
1.11502886981512,0.74,-38.4021284751648
1.11502886981512,0.745,-38.3454325526575
1.11502886981512,0.75,-38.2891404335478
1.11502886981512,0.755,-38.2332469325325
1.11502886981512,0.76,-38.1777469673977
1.11502886981512,0.765,-38.1226355563208
1.11502886981512,0.77,-38.0679078152612
1.11502886981512,0.775,-38.013558955435
1.11502886981512,0.78,-37.9595842808713
1.11502886981512,0.785,-37.9059791860464
1.11502886981512,0.79,-37.8527391535931
1.11502886981512,0.795,-37.7998597520829
1.11502886981512,0.8,-37.7473366338768
1.11502886981512,0.805,-37.6951655330438
1.11502886981512,0.81,-37.6433422633439
1.11502886981512,0.815,-37.591862716273
1.11502886981512,0.82,-37.5407228591676
1.11502886981512,0.825,-37.4899187333672
1.11502886981512,0.83,-37.4394464524328
1.11502886981512,0.835,-37.3893022004177
1.11502886981512,0.84,-37.3394822301915
1.11502886981512,0.845,-37.289982861813
1.11502886981512,0.85,-37.240800480951
1.11502886981512,0.855,-37.1919315373522
1.11502886981512,0.86,-37.1433725433531
1.11502886981512,0.865,-37.0951200724357
1.11502886981512,0.87,-37.0471707578246
1.11502886981512,0.875,-36.9995212911241
1.11502886981512,0.88,-36.9521684209945
1.11502886981512,0.885,-36.9051089518664
1.11502886981512,0.89,-36.85833974269
1.11502886981512,0.895,-36.8118577057212
1.11502886981512,0.9,-36.7656598053398
1.11502886981512,0.905,-36.7197430569021
1.11502886981512,0.91,-36.674104525624
1.11502886981512,0.915,-36.6287413254954
1.11502886981512,0.92,-36.583650618224
1.11502886981512,0.925,-36.5388296122078
1.11502886981512,0.93,-36.4942755615356
1.11502886981512,0.935,-36.4499857650141
1.11502886981512,0.94,-36.4059575652208
1.11502886981512,0.945,-36.3621883475828
1.11502886981512,0.95,-36.3186755394794
1.11502886981512,0.955,-36.2754166093682
1.11502886981512,0.96,-36.2324090659348
1.11502886981512,0.965,-36.1896504572638
1.11502886981512,0.97,-36.1471383700318
1.11502886981512,0.975,-36.1048704287214
1.11502886981512,0.98,-36.0628442948545
1.11502886981512,0.985,-36.0210576662465
1.11502886981512,0.99,-35.9795082762778
1.11502886981512,0.995,-35.9381938931855
1.11502886981512,1,-35.8971123193713
1.11502886981512,1.005,-35.856261390728
1.11502886981512,1.01,-35.815638975982
1.11502886981512,1.015,-35.7752429760523
1.11502886981512,1.02,-35.7350713234254
1.11502886981512,1.025,-35.6951219815458
1.11502886981512,1.03,-35.6553929442206
1.11502886981512,1.035,-35.6158822350396
1.11502886981512,1.04,-35.5765879068086
1.11502886981512,1.045,-35.5375080409969
1.11502886981512,1.05,-35.4986407471976
1.11502886981512,1.055,-35.4599841626016
1.11502886981512,1.06,-35.4215364514828
1.11502886981512,1.065,-35.3832958046969
1.11502886981512,1.07,-35.345260439191
1.11502886981512,1.075,-35.3074285975251
1.11502886981512,1.08,-35.2697985474047
1.11502886981512,1.085,-35.2323685812243
1.11502886981512,1.09,-35.1951370156216
1.11502886981512,1.095,-35.1581021910415
1.11502886981512,1.1,-35.1212624713108
1.11502886981512,1.105,-35.0846162432217
1.11502886981512,1.11,-35.0481619161261
1.11502886981512,1.115,-35.0118979215374
1.11502886981512,1.12,-34.9758227127429
1.11502886981512,1.125,-34.9399347644236
1.11502886981512,1.13,-34.9042325722838
1.11502886981512,1.135,-34.8687146526872
1.11502886981512,1.14,-34.8333795423032
1.11502886981512,1.145,-34.798225797759
1.11502886981512,1.15,-34.7632519953009
1.11502886981512,1.155,-34.7284567304619
1.11502886981512,1.16,-34.6938386177372
1.11502886981512,1.165,-34.6593962902669
1.11502886981512,1.17,-34.6251283995245
1.11502886981512,1.175,-34.5910336150137
1.11502886981512,1.18,-34.55711062397
1.11502886981512,1.185,-34.5233581310703
1.11502886981512,1.19,-34.4897748581475
1.11502886981512,1.195,-34.4563595439117
1.11502886981512,1.2,-34.4231109436769
1.11502886981512,1.205,-34.3900278290943
1.11502886981512,1.21,-34.3571089878901
1.11502886981512,1.215,-34.3243532236094
1.11502886981512,1.22,-34.2917593553655
1.11502886981512,1.225,-34.2593262175939
1.11502886981512,1.23,-34.2270526598122
1.11502886981512,1.235,-34.194937546384
1.11502886981512,1.24,-34.162979756288
1.11502886981512,1.245,-34.1311781828924
1.11502886981512,1.25,-34.099531733733
1.11502886981512,1.255,-34.0680393302963
1.11502886981512,1.26,-34.0366999078068
1.11502886981512,1.265,-34.0055124150187
1.11502886981512,1.27,-33.9744758140118
1.11502886981512,1.275,-33.9435890799915
1.11502886981512,1.28,-33.9128512010924
1.11502886981512,1.285,-33.8822611781861
1.11502886981512,1.29,-33.8518180246932
1.11502886981512,1.295,-33.8215207663983
1.11502886981512,1.3,-33.7913684412689
1.11502886981512,1.305,-33.7613600992781
1.11502886981512,1.31,-33.7314948022304
1.11502886981512,1.315,-33.7017716235909
1.11502886981512,1.32,-33.6721896483183
1.11502886981512,1.325,-33.6427479727005
1.11502886981512,1.33,-33.6134457041937
1.11502886981512,1.335,-33.5842819612644
1.11502886981512,1.34,-33.5552558732349
1.11502886981512,1.345,-33.526366580131
1.11502886981512,1.35,-33.4976132325332
1.11502886981512,1.355,-33.4689949914305
1.11502886981512,1.36,-33.4405110280767
1.11502886981512,1.365,-33.4121605238501
1.11502886981512,1.37,-33.3839426701151
1.11502886981512,1.375,-33.3558566680869
1.11502886981512,1.38,-33.3279017286981
1.11502886981512,1.385,-33.3000770724687
1.11502886981512,1.39,-33.2723819293778
1.11502886981512,1.395,-33.2448155387377
1.11502886981512,1.4,-33.2173771490708
1.11502886981512,1.405,-33.1900660179883
1.11502886981512,1.41,-33.162881412071
1.11502886981512,1.415,-33.1358226067531
1.11502886981512,1.42,-33.1088888862072
1.11502886981512,1.425,-33.0820795432318
1.11502886981512,1.43,-33.0553938791409
1.11502886981512,1.435,-33.0288312036552
1.11502886981512,1.44,-33.0023908347959
1.11502886981512,1.445,-32.9760720987798
1.11502886981512,1.45,-32.9498743299165
1.11502886981512,1.455,-32.9237968705075
1.11502886981512,1.46,-32.8978390707471
1.11502886981512,1.465,-32.872000288625
1.11502886981512,1.47,-32.8462798898305
1.11502886981512,1.475,-32.8206772476584
1.11502886981512,1.48,-32.7951917429171
1.11502886981512,1.485,-32.7698227638373
1.11502886981512,1.49,-32.7445697059832
1.11502886981512,1.495,-32.719431972165
1.11502886981512,1.5,-32.6944089723526
1.11502886981512,1.505,-32.669500123591
1.11502886981512,1.51,-32.6447048499173
1.11502886981512,1.515,-32.6200225822792
1.11502886981512,1.52,-32.5954527584543
1.11502886981512,1.525,-32.5709948229714
1.11502886981512,1.53,-32.5466482270332
1.11502886981512,1.535,-32.5224124284396
1.11502886981512,1.54,-32.4982868915129
1.11502886981512,1.545,-32.4742710870245
1.11502886981512,1.55,-32.4503644921219
1.11502886981512,1.555,-32.4265665902579
1.11502886981512,1.56,-32.4028768711204
1.11502886981512,1.565,-32.3792948305636
1.11502886981512,1.57,-32.3558199705404
1.11502886981512,1.575,-32.3324517990356
1.11502886981512,1.58,-32.3091898300009
1.11502886981512,1.585,-32.2860335832898
1.11502886981512,1.59,-32.2629825845951
1.11502886981512,1.595,-32.2400363653859
1.11502886981512,1.6,-32.217194462847
1.11502886981512,1.605,-32.1944564198182
1.11502886981512,1.61,-32.1718217847352
1.11502886981512,1.615,-32.1492901115712
1.11502886981512,1.62,-32.1268609597796
1.11502886981512,1.625,-32.1045338942379
1.11502886981512,1.63,-32.0823084851916
1.11502886981512,1.635,-32.0601843081998
1.11502886981512,1.64,-32.0381609440817
1.11502886981512,1.645,-32.0162379788634
1.11502886981512,1.65,-31.994415003726
1.11502886981512,1.655,-31.9726916149543
1.11502886981512,1.66,-31.9510674138863
1.11502886981512,1.665,-31.9295420068638
1.11502886981512,1.67,-31.9081150051833
1.11502886981512,1.675,-31.8867860250483
1.11502886981512,1.68,-31.8655546875215
1.11502886981512,1.685,-31.8444206184783
1.11502886981512,1.69,-31.8233834485614
1.11502886981512,1.695,-31.802442813135
1.11502886981512,1.7,-31.7815983522406
1.11502886981512,1.705,-31.7608497105532
1.11502886981512,1.71,-31.7401965373383
1.11502886981512,1.715,-31.7196384864091
1.11502886981512,1.72,-31.6991752160849
1.11502886981512,1.725,-31.6788063891498
1.11502886981512,1.73,-31.6585316728123
1.11502886981512,1.735,-31.6383507386649
1.11502886981512,1.74,-31.6182632626453
1.11502886981512,1.745,-31.5982689249968
1.11502886981512,1.75,-31.578367410231
1.11502886981512,1.755,-31.5585584070894
1.11502886981512,1.76,-31.5388416085064
1.11502886981512,1.765,-31.5192167115729
1.11502886981512,1.77,-31.4996834175002
1.11502886981512,1.775,-31.4802414315843
1.11502886981512,1.78,-31.460890463171
1.11502886981512,1.785,-31.4416302256211
1.11502886981512,1.79,-31.4224604362767
1.11502886981512,1.795,-31.4033808164274
1.11502886981512,1.8,-31.384391091277
1.11502886981512,1.805,-31.3654909899113
1.11502886981512,1.81,-31.3466802452653
1.11502886981512,1.815,-31.3279585940921
1.11502886981512,1.82,-31.3093257769307
1.11502886981512,1.825,-31.290781538076
1.11502886981512,1.83,-31.2723256255475
1.11502886981512,1.835,-31.2539577910596
1.11502886981512,1.84,-31.2356777899918
1.11502886981512,1.845,-31.2174853813592
1.11502886981512,1.85,-31.1993803277838
1.11502886981512,1.855,-31.1813623954657
1.11502886981512,1.86,-31.163431354155
1.11502886981512,1.865,-31.1455869771236
1.11502886981512,1.87,-31.1278290411383
1.11502886981512,1.875,-31.110157326433
1.11502886981512,1.88,-31.0925716166821
1.11502886981512,1.885,-31.0750716989737
1.11502886981512,1.89,-31.057657363784
1.11502886981512,1.895,-31.0403284049506
1.11502886981512,1.9,-31.0230846196472
1.11502886981512,1.905,-31.0059258083584
1.11502886981512,1.91,-30.9888517748545
1.11502886981512,1.915,-30.9718623261668
1.11502886981512,1.92,-30.9549572725628
1.11502886981512,1.925,-30.9381364275226
1.11502886981512,1.93,-30.9213996077141
1.11502886981512,1.935,-30.90474663297
1.11502886981512,1.94,-30.8881773262637
1.11502886981512,1.945,-30.8716915136867
1.11502886981512,1.95,-30.855289024425
1.11502886981512,1.955,-30.8389696907364
1.11502886981512,1.96,-30.8227333479282
1.11502886981512,1.965,-30.8065798343347
1.11502886981512,1.97,-30.7905089912949
1.11502886981512,1.975,-30.7745206631306
1.11502886981512,1.98,-30.7586146971245
1.11502886981512,1.985,-30.742790943499
1.11502886981512,1.99,-30.7270492553944
1.11502886981512,1.995,-30.7113894888476
1.11502886981512,2,-30.6958115027715
1.11502886981512,2.005,-30.6803151589335
1.11502886981512,2.01,-30.6649003219351
1.11502886981512,2.015,-30.6495668591912
1.11502886981512,2.02,-30.6343146409095
1.11502886981512,2.025,-30.6191435400705
1.11502886981512,2.03,-30.6040534324068
1.11502886981512,2.035,-30.5890441963836
1.11502886981512,2.04,-30.574115713178
1.11502886981512,2.045,-30.5592678666599
1.11502886981512,2.05,-30.5445005433719
1.11502886981512,2.055,-30.5298136325095
1.11502886981512,2.06,-30.515207025902
1.11502886981512,2.065,-30.5006806179925
1.11502886981512,2.07,-30.4862343058191
1.11502886981512,2.075,-30.4718679889952
1.11502886981512,2.08,-30.4575815696904
1.11502886981512,2.085,-30.4433749526114
1.11502886981512,2.09,-30.429248044983
1.11502886981512,2.095,-30.4152007565287
1.11502886981512,2.1,-30.4012329994523
1.11502886981512,2.105,-30.3873446884183
1.11502886981512,2.11,-30.3735357405338
1.11502886981512,2.115,-30.3598060753288
1.11502886981512,2.12,-30.3461556147381
1.11502886981512,2.125,-30.332584283082
1.11502886981512,2.13,-30.3190920070478
1.11502886981512,2.135,-30.3056787156711
1.11502886981512,2.14,-30.2923443403165
1.11502886981512,2.145,-30.2790888146597
1.11502886981512,2.15,-30.2659120746679
1.11502886981512,2.155,-30.2528140585818
1.11502886981512,2.16,-30.2397947068961
1.11502886981512,2.165,-30.2268539623413
1.11502886981512,2.17,-30.2139917698645
1.11502886981512,2.175,-30.2012080766108
1.11502886981512,2.18,-30.1885028319044
1.11502886981512,2.185,-30.1758759872293
1.11502886981512,2.19,-30.1633274962109
1.11502886981512,2.195,-30.1508573145967
1.11502886981512,2.2,-30.1384654002372
1.11502886981512,2.205,-30.1261517130669
1.11502886981512,2.21,-30.113916215085
1.11502886981512,2.215,-30.1017588703362
1.11502886981512,2.22,-30.0896796448914
1.11502886981512,2.225,-30.0776785068282
1.11502886981512,2.23,-30.0657554262115
1.11502886981512,2.235,-30.0539103750737
1.11502886981512,2.24,-30.0421433273953
1.11502886981512,2.245,-30.0304542590848
1.11502886981512,2.25,-30.0188431479593
1.11502886981512,2.255,-30.0073099737237
1.11502886981512,2.26,-29.9958547179514
1.11502886981512,2.265,-29.9844773640635
1.11502886981512,2.27,-29.9731778973088
1.11502886981512,2.275,-29.9619563047427
1.11502886981512,2.28,-29.9508125752075
1.11502886981512,2.285,-29.9397466993106
1.11502886981512,2.29,-29.9287586694044
1.11502886981512,2.295,-29.9178484795647
1.11502886981512,2.3,-29.9070161255696
1.11502886981512,2.305,-29.8962616048781
1.11502886981512,2.31,-29.8855849166087
1.11502886981512,2.315,-29.8749860615174
1.11502886981512,2.32,-29.8644650419758
1.11502886981512,2.325,-29.8540218619492
1.11502886981512,2.33,-29.8436565269739
1.11502886981512,2.335,-29.8333690441355
1.11502886981512,2.34,-29.8231594220452
