"Freq [GHz]","dB(St(Feedline_T1,Feedline_T1)) []"
3.3,-0.119569408144168
3.305,-0.119739856139527
3.31,-0.119911314936498
3.315,-0.120083690159703
3.32,-0.120256892274412
3.325,-0.120430836271394
3.33,-0.120605441376605
3.335,-0.120780630783642
3.34,-0.120956331406893
3.345,-0.121132473653584
3.35,-0.121308991213199
3.355,-0.121485820862678
3.36,-0.121662902286213
3.365,-0.12184017790825
3.37,-0.122017592738848
3.375,-0.122195094230169
3.38,-0.122372632143314
3.385,-0.122550158424697
3.39,-0.12272762709117
3.395,-0.12290499412316
3.4,-0.123082217365335
3.405,-0.123259256434082
3.41,-0.123436072631361
3.415,-0.12361262886444
3.42,-0.123788889571034
3.425,-0.123964820649506
3.43,-0.124140389393709
3.435,-0.124315564432145
3.44,-0.124490315671142
3.445,-0.124664614241769
3.45,-0.124838432450174
3.455,-0.125011743731126
3.46,-0.12518452260459
3.465,-0.12535674463502
3.47,-0.125528386393309
3.475,-0.125699425421026
3.48,-0.125869840197046
3.485,-0.126039610106169
3.49,-0.126208715409677
3.495,-0.126377137217772
3.5,-0.126544857463672
3.505,-0.126711858879286
3.51,-0.126878124972378
3.515,-0.127043640005107
3.52,-0.127208388973853
3.525,-0.127372357590246
3.53,-0.127535532263326
3.535,-0.127697900082747
3.54,-0.127859448802996
3.545,-0.128020166828445
3.55,-0.128180043199393
3.555,-0.128339067578814
3.56,-0.128497230239857
3.565,-0.128654522054138
3.57,-0.128810934480588
3.575,-0.128966459554971
3.58,-0.129121089879993
3.585,-0.129274818615889
3.59,-0.12942763947156
3.595,-0.129579546696186
3.6,-0.129730535071239
3.605,-0.129880599902944
3.61,-0.130029737015125
3.615,-0.130177942742348
3.62,-0.130325213923491
3.625,-0.130471547895559
3.63,-0.130616942487809
3.635,-0.130761396016157
3.64,-0.130904907277817
3.645,-0.131047475546194
3.65,-0.131189100565942
3.655,-0.131329782548347
3.66,-0.131469522166764
3.665,-0.13160832055225
3.67,-0.131746179289472
3.675,-0.131883100412605
3.68,-0.132019086401483
3.685,-0.132154140177811
3.69,-0.132288265101526
3.695,-0.132421464967251
3.7,-0.132553744000856
3.705,-0.132685106856068
3.71,-0.132815558611231
3.715,-0.13294510476607
3.72,-0.133073751238559
3.725,-0.133201504361856
3.73,-0.133328370881241
3.735,-0.133454357951147
3.74,-0.133579473132197
3.745,-0.13370372438835
3.75,-0.133827120083952
3.755,-0.133949668980938
3.76,-0.13407138023595
3.765,-0.134192263397572
3.77,-0.134312328403509
3.775,-0.134431585577808
3.78,-0.134550045628021
3.785,-0.134667719642513
3.79,-0.134784619087618
3.795,-0.134900755804861
3.8,-0.135016142008211
3.805,-0.13513079028125
3.81,-0.135244713574385
3.815,-0.135357925202053
3.82,-0.135470438839848
3.825,-0.135582268521725
3.83,-0.135693428637116
3.835,-0.135803933928099
3.84,-0.135913799486451
3.845,-0.136023040750764
3.85,-0.136131673503519
3.855,-0.136239713868101
3.86,-0.136347178305877
3.865,-0.136454083613128
3.87,-0.136560446918088
3.875,-0.136666285677874
3.88,-0.136771617675374
3.885,-0.136876461016215
3.89,-0.1369808341256
3.895,-0.137084755745164
3.9,-0.137188244929828
3.905,-0.137291321044559
3.91,-0.137394003761181
3.915,-0.137496313055114
3.92,-0.137598269202089
3.925,-0.13769989277486
3.93,-0.137801204639872
3.935,-0.137902225953949
3.94,-0.138002978160849
3.945,-0.138103482987937
3.95,-0.13820376244275
3.955,-0.138303838809515
3.96,-0.138403734645727
3.965,-0.138503472778675
3.97,-0.138603076301895
3.975,-0.138702568571678
3.98,-0.138801973203498
3.985,-0.138901314068462
3.99,-0.139000615289742
3.995,-0.139099901238938
4,-0.139199196532511
