corte,expressao,posicao_mm,valor
x,Mag_H,2.084,61.95879873777473
x,Mag_H,2.088,61.91518863930223
x,Mag_H,2.092,61.86851437010673
x,Mag_H,2.096,61.81878164264693
x,Mag_H,2.1,61.765997319066614
x,Mag_H,2.104,61.710169411195075
x,Mag_H,2.108,61.65130708054644
x,Mag_H,2.112,61.58942063832072
x,Mag_H,2.116,61.524521545402806
x,Mag_H,2.1199999999999997,61.45662241236294
x,Mag_H,2.124,61.38573699945672
x,Mag_H,2.128,61.31188021662517
x,Mag_H,2.132,61.235068123494486
x,Mag_H,2.136,61.15531792937609
x,Mag_H,2.14,61.07264799326673
x,Mag_H,2.144,60.9870778238488
x,Mag_H,2.148,60.89862807948939
x,Mag_H,2.152,60.807320568241245
x,Mag_H,2.1559999999999997,60.71317824784254
x,Mag_H,2.16,60.53547595118067
x,Mag_H,2.164,60.170085302758494
x,Mag_H,2.168,59.80271549007405
x,Mag_H,2.172,59.43334399162518
x,Mag_H,2.176,59.061949369439986
x,Mag_H,2.18,58.688511269075974
x,Mag_H,2.184,58.313010419621655
x,Mag_H,2.188,57.93542863369482
x,Mag_H,2.192,57.55574880744387
x,Mag_H,2.196,57.1739549205469
x,Mag_H,2.2,56.790032036212416
x,Mag_H,2.204,56.403966301178635
x,Mag_H,2.208,56.01574494571411
x,Mag_H,2.2119999999999997,55.62535628361733
x,Mag_H,2.216,55.23278971221701
x,Mag_H,2.22,54.838035712371855
x,Mag_H,2.224,54.441085848470394
x,Mag_H,2.228,54.04193276843159
x,Mag_H,2.232,53.64057020370437
x,Mag_H,2.236,53.236992969267696
x,Mag_H,2.24,52.83119696363058
x,Mag_H,2.244,52.42317916883225
x,Mag_H,2.248,52.01293765044167
x,Mag_H,2.2520000000000002,51.60047155755829
x,Mag_H,2.2560000000000002,51.185781122811335
x,Mag_H,2.2600000000000002,50.76886766236021
x,Mag_H,2.2640000000000002,50.349733575894405
x,Mag_H,2.268,49.928382346633434
x,Mag_H,2.2720000000000002,49.504818541326955
x,Mag_H,2.2760000000000002,49.079047810254664
x,Mag_H,2.2800000000000002,48.651076887226324
x,Mag_H,2.2840000000000003,48.220913589581635
x,Mag_H,2.2880000000000003,47.78856681819059
x,Mag_H,2.2920000000000003,47.35404655745317
x,Mag_H,2.2960000000000003,46.917363875299415
x,Mag_H,2.3000000000000003,46.47853092318935
x,Mag_H,2.304,46.0375609361133
x,Mag_H,2.308,45.5944682325914
x,Mag_H,2.312,45.14926821467416
x,Mag_H,2.316,44.70197736794172
x,Mag_H,2.32,44.25261326150473
x,Mag_H,2.324,43.79582420723545
x,Mag_H,2.328,43.3409811221628
x,Mag_H,2.332,42.8902491342671
x,Mag_H,2.336,42.44360401079496
x,Mag_H,2.34,42.001022294538984
x,Mag_H,2.344,41.56248130383806
x,Mag_H,2.348,41.127959132577075
x,Mag_H,2.352,40.69743465018725
x,Mag_H,2.356,40.270887501645745
x,Mag_H,2.3599999999999994,39.848298107476204
