corte,posicao_mm,Mag_H_A_per_m
x,2.08,61.99934010275145
x,2.084,61.95879873777473
x,2.088,61.91518863930223
x,2.092,61.86851437010673
x,2.096,61.81878164264693
x,2.1,61.765997319066614
x,2.104,61.710169411195075
x,2.108,61.65130708054644
x,2.112,61.58942063832072
x,2.116,61.524521545402806
x,2.1199999999999997,61.45662241236294
x,2.124,61.38573699945672
x,2.128,61.31188021662517
x,2.132,61.235068123494486
x,2.136,61.15531792937609
x,2.14,61.07264799326673
x,2.144,60.9870778238488
x,2.148,60.89862807948939
x,2.152,60.807320568241245
x,2.1559999999999997,60.71317824784254
x,2.16,60.53547595118067
x,2.164,60.170085302758494
x,2.168,59.80271549007405
x,2.172,59.43334399162518
x,2.176,59.061949369439986
x,2.18,58.688511269075974
x,2.184,58.313010419621655
x,2.188,57.93542863369482
x,2.192,57.55574880744387
x,2.196,57.1739549205469
x,2.2,56.790032036212416
x,2.204,56.403966301178635
x,2.208,56.01574494571411
x,2.2119999999999997,55.62535628361733
x,2.216,55.23278971221701
x,2.22,54.838035712371855
x,2.224,54.441085848470394
x,2.228,54.04193276843159
x,2.232,53.64057020370437
x,2.236,53.236992969267696
x,2.24,52.83119696363058
x,2.244,52.42317916883225
x,2.248,52.01293765044167
x,2.2520000000000002,51.60047155755829
x,2.2560000000000002,51.185781122811335
x,2.2600000000000002,50.76886766236021
x,2.2640000000000002,50.349733575894405
x,2.268,49.928382346633434
x,2.2720000000000002,49.504818541326955
x,2.2760000000000002,49.079047810254664
x,2.2800000000000002,48.651076887226324
x,2.2840000000000003,48.220913589581635
x,2.2880000000000003,47.78856681819059
x,2.2920000000000003,47.35404655745317
x,2.2960000000000003,46.917363875299415
x,2.3000000000000003,46.47853092318935
x,2.304,46.0375609361133
x,2.308,45.5944682325914
x,2.312,45.14926821467416
x,2.316,44.70197736794172
x,2.32,44.25261326150473
x,2.324,43.79582420723545
x,2.328,43.3409811221628
x,2.332,42.8902491342671
x,2.336,42.44360401079496
x,2.34,42.001022294538984
x,2.344,41.56248130383806
x,2.348,41.127959132577075
x,2.352,40.69743465018725
x,2.356,40.270887501645745
x,2.3599999999999994,39.848298107476204
x,2.364,39.42964766374831
x,2.368,39.01491814207766
x,2.372,38.60409228962639
x,2.376,38.19715362910244
x,2.38,37.79408645876017
x,2.384,37.39487585240008
x,2.388,36.99950765936875
x,2.392,36.607968504558855
x,2.3959999999999995,36.220245788409386
x,2.4,35.83632768690542
x,2.404,35.45620315157822
x,2.408,35.07986190950521
x,2.412,34.70729446330993
x,2.4159999999999995,34.33849209116206
x,2.42,33.97344684677767
x,2.424,33.61215155941865
x,2.428,33.254599833893366
x,2.432,32.90078605055599
x,2.436,32.55070536530734
x,2.44,32.20435370959387
x,2.444,31.861727790408544
x,2.448,31.522825090290425
x,2.4519999999999995,31.18764386732472
x,2.456,30.856183155142745
x,2.46,30.52844276292194
x,2.464,30.2044232753861
x,2.468,29.884126052804938
x,2.472,29.567553230994584
x,2.476,29.254707721317136
x,2.48,28.945593210680887
x,2.484,28.640214161540396
x,2.488,28.338575811896266
x,2.492,28.040684175295308
x,2.496,27.74654604083048
x,2.5,27.456168973140954
x,2.504,27.169561312411982
x,2.5079999999999996,26.88673217437501
x,2.512,26.607691450307666
x,2.516,26.332449807033754
x,2.52,26.06101868692323
x,2.524,25.79341030789213
x,2.528,25.52963766340284
x,2.532,25.269714522463595
x,2.536,25.013655429629164
x,2.54,24.761475705000183
x,2.544,24.513191444223608
x,2.548,24.268819518492503
x,2.552,24.02837757454608
x,2.556,23.791884034669817
x,2.56,23.55935809669518
x,2.5639999999999996,23.330819733999874
x,2.568,23.106289695507897
x,2.572,22.88578950568921
x,2.576,22.66934146456001
x,2.58,22.456968647682668
x,2.584,22.248694906165753
x,2.588,22.04454486666397
x,2.592,21.844543931378116
x,2.596,21.64871827805516
x,2.5999999999999996,21.457094859988395
x,2.604,21.26970140601713
x,2.608,21.08656642052676
x,2.612,20.907719183449064
x,2.616,20.733189750261815
x,2.6199999999999997,20.563008951988994
x,2.624,20.397208395200746
x,2.628,20.23582046201344
x,2.632,20.07887831008942
x,2.636,19.926415872637502
x,2.64,19.778467858412263
x,2.644,19.635069751714838
x,2.648,19.496257812392216
x,2.652,19.362069075837756
x,2.6559999999999997,19.23254135299088
x,2.66,19.107713230337126
x,2.664,18.987624069908364
x,2.668,18.872314009282444
x,2.672,18.761823961583488
x,2.676,18.656195615481728
x,2.68,18.555471435193606
x,2.684,18.45969466048161
x,2.688,18.368909306654597
x,2.692,18.283160164567327
x,2.696,18.202492800620973
x,2.7,18.126953556762672
x,2.704,18.056589550485892
x,2.708,17.9914486748301
x,2.7119999999999997,17.93157959838104
x,2.716,17.877031765270523
x,2.72,17.827855395176666
x,2.724,17.784101483323592
x,2.728,17.745821800481664
x,2.732,17.713068892967406
x,2.736,17.685896082643485
x,2.74,17.664357466918766
x,2.744,17.648507918748166
x,2.7479999999999998,17.638403086632962
x,2.7520000000000002,17.63409939462038
x,2.7560000000000002,17.635654042303972
x,2.7600000000000002,17.643125004823336
x,2.7640000000000002,17.656571032864296
x,2.768,17.676051652658842
x,2.7720000000000002,17.70162716598505
x,2.7760000000000002,17.73335865016726
x,2.7800000000000002,17.69358832415334
x,2.7840000000000003,17.56125561977548
